sku;productName;picture;pictureBig;brand;price;crossedOverPrice;discountRate;ratingCount;ratingScore;productUrl;Yaş Seçimi;Kategori;Fiyat Aralığı;ShipmentDay
GYYR6Y7108X-BODO36;Yargıcı V Yaka Kuplu Elbise;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_11563858.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_11563858.jpg;Yargıcı;259,9;259,9;0;0;0;http://www.hepsiburada.com/yargici-v-yaka-kuplu-elbise-p-GYYR6Y7108X-BODO36;25-35 Yaş;Giyim, Aksesuar;250TL üzerinde;0
BD601224;Apple MacBook Air Intel Core i5 1.6GHz / 2.7GHz 4GB 128GB SSD 13.3" Taşınabilir Bilgisayar MJVE2TU/A;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_4235497.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_4235497.jpg;Apple;3284,9;3284,9;0;17;4,9;http://www.hepsiburada.com/apple-macbook-air-intel-core-i5-1-6ghz-2-7ghz-4gb-128gb-ssd-13-3-tasinabilir-bilgisayar-mjve2tu-a-p-BD601224;36-45 Yaş;Bilgisayar;250TL üzerinde;0
SPORILRU55624;Ümit 24J COLORADO 2400 BAYAN Dağ Bisikleti Çelik Kadro 21 V - V-FREN;http://images.hepsiburada.net/assets/Spor/200/Spor_12256549.jpg;http://images.hepsiburada.net/assets/Spor/500/Spor_12256549.jpg;Ümit;349,00;349,00;0;0;0;http://www.hepsiburada.com/umit-24j-colorado-2400-bayan-dag-bisikleti-celik-kadro-21-v-v-fren-p-SPORILRU55624;36-45 Yaş;Spor, Fitness;250TL üzerinde;7
GYFAIKU32137MEM;Faik Sönmez Ceket 32137;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12543393.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12543393.jpg;Faik Sönmez;139,0;239,95;42;0;0;http://www.hepsiburada.com/faik-sonmez-ceket-32137-p-GYFAIKU32137MEM;36-45 Yaş;Giyim, Aksesuar;100TL - 150TL;0
SAKSVMBM3215;Marc Jacobs Mbm3215 Kadın Kol Saati;http://images.hepsiburada.net/assets/Saat/200/Saat_11448240.jpg;http://images.hepsiburada.net/assets/Saat/500/Saat_11448240.jpg;Marc Jacobs;606,08;606,08;0;0;0;http://www.hepsiburada.com/marc-jacobs-mbm3215-kadin-kol-saati-p-SAKSVMBM3215;25-35 Yaş;Saat, Gözlük, Aksesuar;250TL üzerinde;0
SADK33158SW;Dice Kayek Dk-3315-8Sw Kadın Kol Saati;http://images.hepsiburada.net/assets/Saat/200/Saat_4629980.jpg;http://images.hepsiburada.net/assets/Saat/500/Saat_4629980.jpg;Dice Kayek;219,0;739,00;70;0;0;http://www.hepsiburada.com/dice-kayek-dk-3315-8sw-kadin-kol-saati-p-SADK33158SW;36-45 Yaş;Saat, Gözlük, Aksesuar;150TL - 250TL;0
MTSINBO32TAVA;Sinbo Çift Taraflı Döküm Tava 32 cm;http://images.hepsiburada.net/assets/MAG/200/MAG_12481552.jpg;http://images.hepsiburada.net/assets/MAG/500/MAG_12481552.jpg;Sinbo;69,90;119,90;42;2;5;http://www.hepsiburada.com/sinbo-cift-tarafli-dokum-tava-32-cm-p-MTSINBO32TAVA;36-45 Yaş,25-35 Yaş;Beyaz Eşya, Mutfak;50TL - 100TL;0
GYMF30290SYL;Magic Form 30290 İçi Saten Astarlı Dışı Kadife Kumaşlı Sabahlık;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12433886.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12433886.jpg;Magic Form;246,0;246,0;0;0;0;http://www.hepsiburada.com/magic-form-30290-ici-saten-astarli-disi-kadife-kumasli-sabahlik-p-GYMF30290SYL;36-45 Yaş;Giyim, Aksesuar;150TL - 250TL;0
GYMF35437EKL;Magic Form 35437 Kolları Dantelli Tül Uzun Sabahlık;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12433921.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12433921.jpg;Magic Form;144,0;144,0;0;0;0;http://www.hepsiburada.com/magic-form-35437-kollari-dantelli-tul-uzun-sabahlik-p-GYMF35437EKL;36-45 Yaş;Giyim, Aksesuar;100TL - 150TL;0
BD602144;Onyo LEGEND7 8GB 7" HD Tablet;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_12443724.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_12443724.jpg;Onyo;199,01;265,38;25;0;0;http://www.hepsiburada.com/onyo-legend7-8gb-7-hd-tablet-p-BD602144;25-35 Yaş;Bilgisayar;150TL - 250TL;0
SAKSVPC901742F05;Pierre Cardin Pc901742f05 Kadın Kol Saati;http://images.hepsiburada.net/assets/Saat/200/Saat_11435560.jpg;http://images.hepsiburada.net/assets/Saat/500/Saat_11435560.jpg;Pierre Cardin;239,3;239,3;0;0;0;http://www.hepsiburada.com/pierre-cardin-pc901742f05-kadin-kol-saati-p-SAKSVPC901742F05;36-45 Yaş;Saat, Gözlük, Aksesuar;150TL - 250TL;0
SPORSALNG65026LSMG;Salcano Ng650 26 Lady V 16'' Siyah-Mor-Gri Bisiklet;http://images.hepsiburada.net/assets/Spor/200/Spor_12447170.jpg;http://images.hepsiburada.net/assets/Spor/500/Spor_12447170.jpg;Salcano;749,90;1200,90;38;0;0;http://www.hepsiburada.com/salcano-ng650-26-lady-v-16-siyah-mor-gri-bisiklet-p-SPORSALNG65026LSMG;36-45 Yaş;Spor, Fitness;250TL üzerinde;0
BD804976;Goldmaster Slim4 4GB Altın MP3 Player;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_12472222.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_12472222.jpg;Goldmaster;59,90;59,90;0;0;0;http://www.hepsiburada.com/goldmaster-slim4-4gb-altin-mp3-player-p-BD804976;46 Yaş ve Üzeri;Bilgisayar;50TL - 100TL;0
AILEBEBEK15741;Bebesi Vauva Anne Bebek Bakım Çantası - Siyah;http://images.hepsiburada.net/assets/Oyuncak/200/Oyuncak_12221445.jpg;http://images.hepsiburada.net/assets/Oyuncak/500/Oyuncak_12221445.jpg;Bebesi;39,90;69,90;43;0;0;http://www.hepsiburada.com/bebesi-vauva-anne-bebek-bakim-cantasi-siyah-p-AILEBEBEK15741;25-35 Yaş;Anne, Bebek, Oyuncak;0TL - 50TL;0
AILEOKI28322;Okiedog Flower Power Saha Turuncu Sarı;http://images.hepsiburada.net/assets/Oyuncak/200/Oyuncak_5093058.jpg;http://images.hepsiburada.net/assets/Oyuncak/500/Oyuncak_5093058.jpg;Okiedog;129,90;199,90;35;0;0;http://www.hepsiburada.com/okiedog-flower-power-saha-turuncu-sari-p-AILEOKI28322;25-35 Yaş;Anne, Bebek, Oyuncak;100TL - 150TL;0
SGELONESHOCK07;Calvin Klein One Shock Edt 200 Ml Kadın Parfümü;http://images.hepsiburada.net/assets/Kozmetik/200/Kozmetik_2394278.jpg;http://images.hepsiburada.net/assets/Kozmetik/500/Kozmetik_2394278.jpg;Calvin Klein;344,01;344,01;0;23;4;http://www.hepsiburada.com/calvin-klein-one-shock-edt-200-ml-kadin-parfumu-p-SGELONESHOCK07;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Kozmetik;250TL üzerinde;5
